,AAPL,AMGN,AMZN,COST,CRM,CSCO,GILD,INTC,ISRG,LCID,MSFT,NVDA,PEP,RXRX,SBUX,TSLA,WMT
AAPL,-0.019871421634339026,-0.03299614884656285,0.0014562747252372839,-0.02902077564181079,-0.004077500280512104,0.001052309734821448,0.02878823033066906,-0.00013437840631142298,0.025256660517813306,0.02876754215149832,-0.005479273603927595,-8.370324056655547e-05,-0.0033777305287330597,0.001589436977014358,0.013132627986070643,-0.0008542225466598267,-0.004329838792309429
AMGN,-0.00038216243479608425,0.005508802303092031,-0.00024076281929340032,-0.00013400887891955099,-5.4096909763587386e-05,3.166660132328724e-05,0.00046649987605118385,-0.00011807482979951569,0.0007432086624344384,0.0016157568162097867,-0.0002540857050071371,-0.0003993610849470728,-1.366148324627968e-05,-0.018196175318407774,-7.606893110433804e-05,-0.00037565696546624713,-0.00013998604294124814
AMZN,-0.004181361509575363,-0.05891043948916111,-0.009987098620513335,-0.046520268075257505,-0.027055957352175995,-0.0018120252559799405,0.0009078406213065479,-0.007741667937974494,0.01040155722075048,-0.0009936078600208398,-0.00897490908319086,-0.001783907393955557,-0.012444286262527957,0.012841205344546414,0.004766880523317418,-0.0032363409736866373,-0.00936095734778709
COST,0.00038834938215544625,-0.0029097060094427285,0.0007606509397609902,0.018280510361216806,0.000910005358722132,0.0008317947900417853,0.002947049491608794,0.0003922237722749607,0.00563834821890099,0.01076344399901788,0.00030556099227138644,0.00017198059242454558,0.0008404406657320446,0.018116393101547744,0.0015968788187521116,5.436640020676587e-05,0.0004668761673364075
CRM,-0.000285860668597533,-0.011335613913796323,-0.0005271728334001122,-0.0017238719468426833,-0.022592010783844985,-1.138282377953926e-05,-0.0006631066511448231,-0.00018294460970249594,-0.0023136879867300657,-0.0022988764142468157,-0.0005637956642315384,-0.0004204746240582609,-0.0009295230515919501,0.003680253461746559,-0.0005550480057202609,-9.728260230988488e-05,-0.0005728698788001561
CSCO,-0.0014406278014929465,-0.01222489397448465,-0.0012149827091518612,-0.00661900509257334,-0.002869342203760814,0.00234903690361582,0.0033656622046816485,-0.0014690125879084802,0.0002943836055308638,0.002620974167527908,-0.001746716068396893,-0.0014018623757776731,-0.0018727775039033044,0.007962569150358326,-0.001434034329240037,-0.0014026239367767685,-0.0014965385970396273
GILD,-0.0009510132867711456,-0.006503333302783622,-0.0009969458665847765,-0.0017375060838129798,-0.0011241869822316672,-0.0013282263621865222,0.007068650298002854,-0.0009869040105430528,0.0011264290290476653,-0.0036609014423507917,-0.0010225954677489301,-0.0009720219163914376,-0.0013279612691658965,0.005132926581689188,-0.0006013132603501603,-0.0009800667208812166,-0.0013605974773928556
INTC,-0.0010367662609979487,-0.01940449942161355,-0.00083881225872816,-0.01789267468478619,-0.0016235974482989718,-0.002887972575806296,0.009602284328068058,0.013194260114623713,0.011969255569721601,0.012677995158051084,-0.0031369679704195217,-0.001417855327848102,0.0012873174236360078,0.021714537075793794,0.006952719412138144,-0.0015777779286043686,-0.002977990908275347
ISRG,-0.0007957584259806242,-0.0028608627187289752,-0.0007346538407543863,-0.0015321158303425644,-0.0008446301188511766,-0.0007971348413996827,-0.0010243780272160877,-0.0007847461248973531,0.01910777977523026,-0.00030957383366473365,-0.0008425257211749516,-0.0008628276001040177,-0.0008392432483109325,0.0025749588739267014,-0.0007425181251589585,-0.0008217833768193825,-0.0008227157884259854
LCID,-0.0007012104977294959,-0.0033872874018006363,-0.000647368958457992,-0.0011847304049145404,-0.0005964613949540928,-0.0007745894679614266,-0.00022229658812284803,0.000382426102258384,-0.002188985498273671,-0.0027068043273867914,-0.00022519670020126198,-0.0004901667479971601,-0.0005702250522830804,0.00031857088611955426,-0.0006766351617395611,-0.0007099167797941577,-0.0007242069135708754
MSFT,0.0023105822729434927,-0.022850382246802817,0.0022753310318073677,-0.010021440099525498,0.006907372662626962,0.007469535552180627,0.01995723803791631,0.0017939601650019503,0.1006945486766788,0.04861156862403742,-0.07089439810932341,0.0007806725568547668,-0.0004373772691893818,0.038551580648561984,0.01829001286803543,0.000341642158313284,0.0006903500809628503
NVDA,-0.02650911110932417,-0.2862922710899981,-0.023092594229080735,-0.04597342809883742,-0.10366116824604027,-0.02002446273649794,0.035073721816425374,-0.03878542541470602,0.07914564044597838,-0.11970453431570272,-0.07133021613859597,-0.0034305951516249156,-0.10354521078005083,-0.5153321194270611,0.00023076326521015433,-0.020783996535629116,-0.05093762469739789
PEP,-0.0007489627098740369,-0.004021951151660845,-0.0007665928995959576,-0.0022621386369984916,-0.000914647367965051,-0.00025286804178123977,0.0011248650616460512,-0.0008470789426014997,0.0022218462689375003,0.003372172756315619,-0.0008510987459051439,-0.0007066703797335133,0.04525677610491757,0.007875101666769756,0.0007264257014652793,-0.0008146934207186474,-0.0010049343113193868
RXRX,-0.0005504778116935238,-0.0015575519215949578,-0.000586533266123246,-0.0009427783357702094,-0.00014426382948255724,-0.00043782236629486253,0.00019195094473959014,-0.00038795085369132875,0.00034123644743326055,-0.00010872624695371265,-0.000651001118257992,-0.00039652532348408804,-0.000281620112400364,-0.047145127930061315,-0.0002768723499251046,-0.0006585730803726391,-0.00013576426491649588
SBUX,-0.0012360688083642045,-0.0036934834746821694,-0.001081799219604359,-0.003276623739273633,-0.0006106663584554426,-0.000853645048600791,0.0004932529398880194,-0.0011301089972439917,0.00070302951707173,0.003663472984142744,-0.0013234427813430174,-0.0011427844908232718,0.0010411520819443533,0.00593458655843448,0.05700494325639793,-0.0011647442953660893,-0.0013056433278351722
TSLA,0.000810692219318343,-0.014111937202285596,0.008584837909412044,-0.07437631350442853,0.035996396009982445,0.0305629677412603,0.11323350692819673,0.021638505472332897,0.21232501104155543,0.24318129750499168,-0.0074829436304844,-0.00022732783255048974,0.012139702331112556,0.32373747487703053,0.0642659778135402,-0.02101787672988148,-0.004170571367106711
WMT,3.3348322948643407e-05,-0.0010953770612296358,0.0010167479790635639,-0.00545283545868736,0.00043790030786588705,0.0009116804613996353,0.006231586049649329,0.00016726337589524718,0.0056365288669066906,0.014514555636959012,-0.0002965725025197725,-8.048151454376467e-05,0.0006077590772892057,0.027990404409560014,0.0022254887591490417,-0.00017777827993883336,0.011056457165346645
