inst,self_IS,cross_in_IS,cross_out_IS,row_stability,col_stability,sh_Hfloor,sh_TOD,sh_Hfull,delta_floor_tod,delta_full_tod
AAPL,0.2996482321821975,1.0693528275341326,0.21039183972155695,0.9779106964582004,0.9969092926601526,0.5500059064765007,0.559972154536614,0.5608009326041968,-0.009966248060113259,0.0008287780675828582
AMGN,0.6406574231962602,0.0762012403909248,1.503363901020851,0.9995836926915139,0.9490906199252115,0.4762612014912464,0.3838847204100992,0.4662387326702206,0.09237648108114721,0.0823540122601214
AMZN,0.25137643263876747,1.2104232617809905,0.20491761105799378,0.9693860118217477,0.9954033233524737,0.4545450593298777,0.6203151748620301,0.4076046255478864,-0.16577011553215243,-0.21271054931414374
COST,0.6113801045106693,0.07245450055070768,1.006083409178296,0.9994659809711484,0.9911362088807356,0.3404363854601744,0.4115193131949795,0.3168492096081637,-0.07108292773480507,-0.09467010358681577
CRM,0.5508684321691522,0.10055637403162587,0.8203749977806452,0.9997516930942173,0.9861144253877607,0.3307792872469184,0.4034180994693122,0.2983137361298522,-0.07263881222239377,-0.10510436333946
CSCO,0.4245462744812203,0.20495099364380887,0.44893028165928583,0.9991565837413483,0.9962853584521626,0.699306748592248,0.5230385138932924,0.5147148890972608,0.17626823469895558,-0.008323624796031548
GILD,0.6082045046670983,0.09138719915862992,0.6226266072969744,0.9998850821246082,0.985828095314283,0.4911779531876565,0.4625942698030879,0.3522033219515655,0.028583683384568626,-0.11039094785152237
INTC,0.3346118698160467,0.3854836756328511,0.3250507632918958,0.9922640857944117,0.9905856722595235,0.6146337180767841,0.5711601377943523,0.4519898190310182,0.04347358028243187,-0.11917031876333406
ISRG,0.6308111790864718,0.05664339173970856,1.437807597116398,0.9999791448759842,0.9785805829441508,0.4882906243158954,0.4792276759624083,0.3622745060278227,0.009062948353487144,-0.1169531699345856
LCID,0.41178756850489084,0.05784583434220952,1.5810363175157607,0.9999605367725132,0.9493173853852048,0.4928533130333484,0.4568907480647132,0.3436534724111928,0.0359625649686352,-0.11323727565352038
MSFT,0.4034888217430571,0.6925689293554466,0.29979975476849974,0.9348143157456433,0.9895957462767466,0.4748025882961632,0.5092859408127586,0.4762704496108341,-0.0344833525165954,-0.033015491201924485
NVDA,0.19025356212020436,5.795144996611585,0.12628010395105718,0.9424083637488965,0.9998907598288403,0.626356133675815,0.6979295877513766,0.4081195083412094,-0.0715734540755616,-0.2898100794101672
PEP,0.4815356839940463,0.10964050699764,0.5515290284292671,0.9998093141683309,0.9754828634814156,0.4179993103137068,0.5144316333722448,0.3927416291429376,-0.09643232305853805,-0.12169000422930726
RXRX,0.33023328013411907,0.05093047956970531,3.125556684734207,0.9999787538522892,0.915198026582711,0.4474469206796417,0.3848141198027071,0.3339338210372373,0.06263280087693462,-0.05088029876546979
SBUX,0.501174165459943,0.11047311242433744,0.48314402588118976,0.9998688790266465,0.9944370495380248,0.5007137477315868,0.483478975182147,0.4080883377269666,0.017234772549439836,-0.07539063745518038
TSLA,0.2813537196157233,2.9990448448859737,0.15408066219526,0.96911450488756,0.997905808876359,0.5121539801430703,0.7073540739631928,0.4943281334916584,-0.1952000938201225,-0.21302594047153445
WMT,0.41751605480219484,0.14324239165930003,0.32537097471043847,0.9971921311041412,0.9922683406702428,0.6447245508404164,0.6021862260107596,0.5763892743008662,0.042538324829656804,-0.02579695170989338
