inst,sh_Hfull,sh_Hself,sh_EWMAc,sh_RVol,sh_EVol,sh_Imbel,sh_TOD,sh_Fixed,sh_Oracl,fill_H,fill_S,fill_E,Hfull_wins
AAPL,0.6612063648770421,0.6401527049703155,0.6090152424640186,0.7271852737744534,0.6892869527832626,0.6844405856482932,0.4273129447121295,0.4802594135077954,0.8282354712727907,0.5604113110539846,0.4370179948586118,0.40359897172236503,0
AMGN,0.4991110992027057,0.5803757714528733,0.7620919820559858,0.6016596870069753,0.0,0.574466151356825,0.5359068855478069,0.29948976902710206,0.6600556095390446,0.6683804627249358,0.5398457583547558,0.6580976863753213,0
AMZN,0.7514007453029217,0.4990880834754621,0.9367352675737698,0.5749767934230641,0.706767896910671,0.46522803558299036,0.6117268901758763,0.3743009554852922,1.0415550816023842,0.6555269922879178,0.27249357326478146,0.8277634961439588,0
COST,0.3807947602408444,0.3920469943680605,0.3157685224085446,0.3564097540895511,0.0,0.4962396581621255,0.4067038931355671,0.2099477246816839,0.5952950977141168,0.7455012853470437,0.8097686375321337,0.8251928020565553,0
CRM,0.5155805779973738,0.5499534784696065,0.5771306331536434,0.34198756620991094,0.0,0.35068766490840864,0.5673421619295614,0.21500470629934276,0.5343005260130674,0.5912596401028277,0.5886889460154242,0.6606683804627249,0
CSCO,0.7892847807973208,0.8309874980320131,0.29405080744449225,0.31834338249580796,0.0,0.34443593897791464,0.33358891410757835,0.43165807805775935,0.8131701984969066,0.9125964010282777,0.9254498714652957,0.9383033419023136,0
GILD,0.4173481594240244,0.6278819338071089,0.4595980132280863,0.4100275728897578,0.0,0.4275354565308315,0.3776911324777308,0.12720118926031698,0.6416710330936048,0.7480719794344473,0.6889460154241646,0.6298200514138818,0
INTC,0.9402937955442024,1.3096212939988547,0.8514956172328637,0.6711846514270545,1.109931410077831,0.791473051930184,1.0110295790568138,0.8662166159968234,1.011010442119337,0.9562982005141388,0.9408740359897172,0.9717223650385605,0
ISRG,0.4627853539476067,0.4373040190271508,0.4526260147306628,0.3230487598620759,0.0,0.4643440588796866,0.3361701330779711,0.28867208025579333,0.48873834168953967,0.5758354755784062,0.5218508997429306,0.6272493573264781,0
LCID,0.27535210239748975,0.6678826026715039,0.43584347365263354,0.34801699850445195,0.0,0.5522418554972414,0.4060226867195806,0.5118901880552825,0.6286848004876883,0.8303341902313625,0.8688946015424165,0.8688946015424165,0
MSFT,0.8462056658598721,1.0719996268704564,1.071116854168692,1.010867028226378,0.4612265651377799,0.4536803462119207,0.32187126497265894,0.0914398232604358,1.0038546884851278,0.5989717223650386,0.8123393316195373,0.7095115681233933,0
NVDA,0.8474554543906462,0.9913539884016184,0.3389302125470765,0.644333733728509,0.7466045751978224,0.5374134155952132,0.717991061319522,1.0612129300650104,1.2680966886719731,0.9768637532133676,0.9922879177377892,1.0,0
PEP,0.5840275175922399,0.6249839216420514,0.7365670294324902,0.4384347553143929,0.0,0.5124268832864735,0.6731428994062885,0.3377309993644092,0.7010147245776164,0.7789203084832905,0.6426735218508998,0.7583547557840618,0
RXRX,0.40669597380630135,0.5308970741283574,0.36690228551252096,0.2791611685367829,0.0,0.4915129591438962,0.4086978961331457,0.47859600813685327,0.4106011457546813,0.6940874035989717,0.622107969151671,0.38817480719794345,0
SBUX,0.6033581175550575,0.4818441689029734,0.743946733590689,0.5046805327405944,0.0,0.36141548357858283,0.7358249375990941,0.26928594289918545,0.8240818913459579,0.5115681233933161,0.4781491002570694,0.7069408740359897,0
TSLA,0.8360837010686022,1.0510223969121197,0.853763167855921,0.6830315509291044,0.87771808913066,0.7078535479074208,0.8809871179423555,0.37068965724091946,0.9550574557524211,0.8868894601542416,0.9331619537275064,0.9562982005141388,0
WMT,1.0478598441802476,1.1171428319569559,0.9533807339325238,0.6337208845660142,0.0,0.6049550175585557,0.9161298541300178,0.8584333586894456,1.0883125004966503,0.8071979434447301,0.7994858611825193,0.9383033419023136,0
